Shimmer_1B20_TimestampSync_Unix_CAL,Shimmer_1B20_GSR_Range_CAL,Shimmer_1B20_GSR_Skin_Conductance_CAL,Shimmer_1B20_GSR_Skin_Resistance_CAL,Shimmer_1B20_PPG_A13_CAL
ms,no_units,uS,kOhms,mV
1691463072218.05,0,19.6271390301241,50.9498607242339,538.461538461538
1691463074169.19,0,18.0963315291673,55.2598187311178,539.926739926739
1691463076120.34,0,18.4972573032274,54.0620689655172,534.065934065934
1691463078071.48,0,18.0963315291673,55.2598187311178,535.531135531135
1691463080022.63,0,18.0963315291673,55.2598187311178,533.333333333333
1691463081973.77,0,20.2467515900351,49.3906390639063,534.065934065934
1691463083924.92,0,18.8252874820038,53.1200387221684,542.857142857142
1691463085876.06,0,27.463415523117,36.4120769741207,539.194139194139
1691463087827.21,0,33.6595411222276,29.7092582566323,574.358974358974
1691463089778.35,0,32.1651814189127,31.0895184135977,598.534798534798
1691463091729.50,0,28.8119840358646,34.707779886148,591.941391941391
1691463093680.64,0,27.9007890948189,35.8412802090137,578.754578754578
1691463095631.79,0,27.9007890948189,35.8412802090137,578.754578754578
1691463097582.93,0,23.4541577825159,42.6363636363636,561.172161172161
1691463099534.07,0,23.4541577825159,42.6363636363636,556.776556776556
1691463101485.22,0,23.7092923660087,42.1775557263643,553.113553113553
1691463103436.36,0,24.9849652834727,40.0240700218818,555.311355311355
1691463105387.51,0,30.4521349297468,32.8384201077199,563.369963369963
1691463107338.65,0,30.0876569533285,33.2362204724409,584.615384615384
1691463109289.80,0,27.5727589160425,36.2676801057501,583.150183150183
1691463111240.94,0,25.2765476646073,39.5623648161499,571.428571428571
1691463113192.09,0,24.7662784976217,40.3774834437086,563.369963369963
1691463115143.23,0,23.0896798060977,43.3093922651933,560.43956043956
1691463117094.38,0,24.2195615329943,41.2889390519187,553.846153846153
1691463119045.52,0,24.3653527235616,41.0418848167539,558.241758241758
1691463120996.67,0,23.4541577825159,42.6363636363636,561.172161172161
1691463122947.81,0,28.301714868879,35.3335479716677,556.776556776556
1691463124898.96,0,34.0604668962877,29.3595505617977,577.289377289377
